scenario_id,ground_truth,predicted,correct,line_count,events_count,result_file
scenario_01,Normal,Normal,True,269,4,results\baseline\scenario_01.json
scenario_02,Normal,Normal,True,22,4,results\baseline\scenario_02.json
scenario_03,Normal,Normal,True,22,4,results\baseline\scenario_03.json
scenario_04,Normal,Anomaly,False,38,6,results\baseline\scenario_04.json
scenario_05,Normal,Anomaly,False,38,4,results\baseline\scenario_05.json
scenario_06,Anomaly,Normal,False,223,6,results\baseline\scenario_06.json
scenario_07,Anomaly,Anomaly,True,40,4,results\baseline\scenario_07.json
scenario_08,Anomaly,Anomaly,True,40,4,results\baseline\scenario_08.json
scenario_09,Anomaly,Anomaly,True,39,5,results\baseline\scenario_09.json
scenario_10,Anomaly,Anomaly,True,8,5,results\baseline\scenario_10.json
scenario_11,Normal,Normal,True,19,4,results\baseline\scenario_11.json
scenario_12,Normal,Normal,True,19,3,results\baseline\scenario_12.json
scenario_13,Normal,Normal,True,19,6,results\baseline\scenario_13.json
scenario_14,Normal,Normal,True,19,3,results\baseline\scenario_14.json
scenario_15,Normal,Normal,True,19,5,results\baseline\scenario_15.json
scenario_16,Anomaly,Normal,False,20,4,results\baseline\scenario_16.json
scenario_17,Anomaly,Normal,False,20,6,results\baseline\scenario_17.json
scenario_18,Anomaly,Normal,False,20,4,results\baseline\scenario_18.json
scenario_19,Anomaly,Anomaly,True,20,3,results\baseline\scenario_19.json
scenario_20,Anomaly,Normal,False,22,4,results\baseline\scenario_20.json
